id,municipio,2020M08,2021M02,2021M08,2022M02,2022M08,2023M02,2023M08,2024M02
01,Andalucía,67392,61574,63179,60813,70123,70194,79065,82454
01,Araba/Álava,332,300,328,279,325,332,320,346
01001,Alegría-Dulantzi,2,3,3,2,2,2,2,2
01002,Amurrio,8,7,9,9,9,7,11,9
01003,Aramaio,0,0,0,0,0,2,2,2
01004,Artziniega,5,5,3,2,2,2,3,3
01006,Armiñón,3,2,3,3,2,1,1,1
01008,Arratzua-Ubarrundia,2,2,2,2,2,2,2,2
01009,Asparrena,1,1,1,1,2,2,2,2
01010,Ayala/Aiara,12,8,9,9,7,8,8,7
01011,Baños de Ebro/Mañueta,0,0,0,0,0,0,1,1
01013,Barrundia,1,1,1,1,1,1,0,0
01014,Berantevilla,0,0,0,0,0,0,0,0
01016,Bernedo,2,2,2,2,2,1,1,1
01017,Campezo/Kanpezu,3,3,6,6,6,7,9,9
01018,Zigoitia,7,8,7,5,6,7,5,5
01019,Kripan,0,0,0,0,0,0,0,0
01020,Kuartango,5,5,5,0,4,0,0,1
01021,Elburgo/Burgelu,4,3,4,4,3,4,4,3
01022,Elciego,9,5,6,6,5,7,8,7
01023,Elvillar/Bilar,1,1,1,0,0,0,0,0
01027,Iruraiz-Gauna,2,2,2,2,2,2,2,2
01028,Labastida/Bastida,6,5,7,8,12,10,14,12
01030,Lagrán,0,0,0,0,3,3,0,0
01031,Laguardia,19,17,19,14,19,13,20,21
01032,Lanciego/Lantziego,11,10,9,10,11,11,10,8
01033,Lapuebla de Labarca,8,8,6,6,6,4,3,6
01034,Leza,2,1,1,1,2,2,4,5
01036,Laudio/Llodio,5,2,6,3,2,5,6,7
01037,Arraia-Maeztu,5,6,6,6,7,6,6,5
01039,Moreda de Álava/Moreda Araba,1,1,1,1,1,1,1,1
01041,Navaridas,0,0,0,0,2,0,1,1
01042,Okondo,0,0,0,0,0,0,0,0
01043,Oyón-Oion,4,4,4,3,3,4,1,1
01044,Peñacerrada-Urizaharra,1,1,0,0,0,0,0,0
01046,Erriberagoitia/Ribera Alta,4,3,5,5,5,5,4,4
01047,Ribera Baja/Erriberabeitia,6,7,8,4,1,0,1,1
01049,Añana,4,5,4,4,2,2,0,0
01051,Agurain/Salvatierra,2,2,2,1,1,1,1,1
01052,Samaniego,3,3,2,2,3,3,3,5
01053,San Millán/Donemiliaga,7,5,9,6,8,8,7,4
01054,Urkabustaiz,2,2,2,2,4,5,4,4
01055,Valdegovía/Gaubea,6,7,7,5,8,7,6,5
01056,Harana/Valle de Arana,0,0,0,0,0,0,1,1
01057,Villabuena de Álava/Eskuernaga,1,1,1,1,1,1,1,1
01058,Legutio,5,5,6,5,6,4,7,9
01059,Vitoria-Gasteiz,152,135,148,129,153,172,147,177
01060,Yécora/Iekora,1,1,1,1,1,1,1,1
01061,Zalduondo,0,0,0,0,0,0,0,0
01062,Zambrana,1,1,1,1,0,1,1,1
01063,Zuia,7,7,5,4,7,5,7,6
01901,Iruña Oka/Iruña de Oca,0,1,1,1,0,0,0,0
01902,Lantarón,2,2,3,2,2,3,2,2
02,Albacete,587,602,626,653,722,808,882,955
02,Aragón,3767,3521,3609,3480,3744,3880,4041,4594
02001,Abengibre,0,0,0,0,0,0,0,0
02002,Alatoz,1,1,3,3,3,2,3,3
02003,Albacete,144,141,134,133,142,177,206,240
02004,Albatana,0,0,0,0,0,0,1,2
02005,Alborea,1,0,1,1,2,3,3,3
02006,Alcadozo,0,0,0,2,2,2,2,2
02007,Alcalá del Júcar,54,57,67,68,70,79,78,100
02008,Alcaraz,28,26,24,28,29,31,38,37
02009,Almansa,5,5,9,8,9,12,14,18
02010,Alpera,6,6,5,6,7,8,8,2
02011,Ayna,6,6,5,7,8,9,9,10
02012,Balazote,1,0,1,1,1,1,1,1
02013,Balsa de Ves,0,0,1,1,1,1,1,1
02014,"Ballestero, El",4,4,4,4,4,3,2,3
02015,Barrax,0,0,0,0,0,0,0,0
02016,Bienservida,3,3,3,3,3,3,2,2
02017,Bogarra,10,9,9,11,11,7,7,8
02018,Bonete,1,1,1,0,0,0,0,0
02019,"Bonillo, El",0,2,2,2,3,3,2,2
02020,Carcelén,4,1,3,5,8,9,10,9
02021,Casas de Juan Núñez,2,2,2,2,6,5,5,6
02022,Casas de Lázaro,3,3,3,2,3,3,3,3
02023,Casas de Ves,2,2,3,3,3,3,2,2
02024,Casas-Ibáñez,13,13,7,9,7,6,5,5
02025,Caudete,2,3,2,3,10,13,10,8
02026,Cenizate,1,1,1,1,1,1,1,2
02027,Corral-Rubio,0,0,0,0,0,0,0,0
02028,Cotillas,0,0,1,1,0,0,0,0
02029,Chinchilla de Monte-Aragón,14,12,13,14,14,15,12,12
02030,Elche de la Sierra,13,13,19,19,22,23,30,33
02031,Férez,2,2,2,4,4,5,2,2
02032,Fuensanta,0,0,0,0,1,1,1,0
02033,Fuente-Álamo,6,4,6,7,8,8,9,9
02034,Fuentealbilla,3,3,1,1,1,2,2,2
02035,"Gineta, La",1,1,1,1,0,0,0,0
02036,Golosalvo,0,0,0,0,0,0,0,0
02037,Hellín,5,7,6,6,11,13,14,16
02038,"Herrera, La",0,0,0,0,0,0,0,0
02039,Higueruela,1,1,1,1,1,2,4,4
02040,Hoya-Gonzalo,2,2,2,1,1,1,2,2
02041,Jorquera,14,13,10,13,9,13,18,16
02042,Letur,13,10,17,16,20,20,20,18
02043,Lezuza,0,0,0,1,0,1,1,0
02044,Liétor,3,3,3,3,2,2,4,3
02045,Madrigueras,1,1,1,2,2,2,2,2
02046,Mahora,1,1,1,1,2,3,2,3
02047,Masegoso,3,3,3,3,3,4,4,4
02048,Minaya,5,5,5,5,5,5,2,2
02049,Molinicos,13,9,8,9,7,8,8,7
02050,Montalvos,0,0,0,0,0,0,0,0
02051,Montealegre del Castillo,0,0,0,0,0,0,0,1
02052,Motilleja,2,2,2,2,2,1,2,2
02053,Munera,3,4,2,1,2,2,3,4
02054,Navas de Jorquera,0,0,0,0,0,0,0,0
02055,Nerpio,4,6,7,4,3,5,6,12
02056,Ontur,1,1,1,1,1,1,1,4
02057,Ossa de Montiel,32,38,44,46,48,53,54,53
02058,Paterna del Madera,3,2,3,1,1,1,0,0
02059,Peñascosa,0,0,0,0,0,1,1,1
02060,Peñas de San Pedro,2,2,2,2,2,3,3,4
02061,Pétrola,0,0,0,0,1,1,1,0
02062,Povedilla,1,1,1,1,1,1,1,1
02063,Pozohondo,2,2,2,3,4,3,3,4
02064,Pozo-Lorente,1,1,1,1,1,1,1,2
02065,Pozuelo,0,0,0,0,0,0,1,1
02066,"Recueja, La",0,0,0,0,0,3,3,3
02067,Riópar,61,66,69,68,80,97,107,103
02068,Robledo,1,0,3,4,5,5,5,5
02069,"Roda, La",2,2,2,2,1,1,6,9
02070,Salobre,1,1,1,1,1,1,2,2
02071,San Pedro,1,1,1,1,1,1,1,1
02072,Socovos,3,5,5,5,4,6,8,8
02073,Tarazona de la Mancha,0,0,0,0,0,0,0,0
02074,Tobarra,6,7,11,9,10,10,8,6
02075,Valdeganga,4,4,5,5,9,8,8,9
02076,Vianos,1,0,0,0,0,0,0,0
02077,Villa de Ves,3,3,2,2,1,1,2,2
02078,Villalgordo del Júcar,1,1,0,1,3,2,2,2
02079,Villamalea,3,3,3,3,2,3,4,3
02080,Villapalacios,0,0,0,0,0,0,0,0
02081,Villarrobledo,8,12,6,8,19,22,26,30
02082,Villatoya,0,0,2,2,2,2,2,2
02083,Villavaliente,0,0,0,0,0,0,0,0
02084,Villaverde de Guadalimar,5,8,9,10,9,9,9,9
02085,Viveros,0,0,0,1,1,1,1,1
02086,Yeste,45,54,52,58,62,54,61,67
02901,Pozo Cañada,0,0,0,0,0,0,0,0
03,Alicante/Alacant,35716,33391,33776,31946,34061,33115,37962,38007
03,"Asturias, Principado de",4891,4373,5176,4723,6110,5810,7036,7240
03001,"Atzúbia, l'",35,34,36,34,31,32,35,37
03002,Agost,13,13,13,16,17,14,14,18
03003,Agres,3,4,5,5,7,6,6,6
03004,Aigües,20,17,23,18,25,25,31,23
03005,Albatera,16,13,13,12,14,15,13,23
03006,Alcalalí,36,35,40,38,37,36,41,40
03007,Alcosser,0,0,0,0,0,0,0,0
03008,Alcoleja,8,5,4,5,5,4,4,4
03009,Alcoi/Alcoy,88,99,99,78,59,76,75,88
03010,Alfafara,1,2,1,1,2,3,3,3
03011,"Alfàs del Pi, l'",484,427,469,434,479,455,517,534
03012,Algorfa,97,88,84,78,76,72,66,63
03013,Algueña,1,1,1,1,2,3,5,6
03014,Alacant/Alicante,3815,3451,3301,3060,3224,3153,3418,3589
03015,Almoradí,37,38,39,27,33,27,33,37
03016,Almudaina,0,0,0,0,0,0,0,0
03017,"Alqueria d'Asnar, l'",0,0,0,0,0,0,0,0
03018,Altea,1275,1152,1196,1136,1209,1123,1267,1273
03019,Aspe,18,15,13,15,17,20,19,27
03020,Balones,0,0,0,0,0,0,0,0
03021,Banyeres de Mariola,13,12,12,13,14,16,18,17
03022,Benasau,1,0,0,0,0,0,0,0
03023,Beneixama,4,4,4,5,5,5,4,5
03024,Benejúzar,4,3,4,2,2,0,2,3
03025,Benferri,8,6,9,11,9,9,10,11
03026,Beniarbeig,35,28,30,28,38,32,26,27
03027,Beniardà,3,2,2,2,2,3,2,1
03028,Beniarrés,3,3,3,4,0,0,1,1
03029,Benigembla,16,11,14,11,13,13,12,13
03030,Benidoleig,39,35,34,22,21,18,21,23
03031,Benidorm,2514,2444,2596,2461,2583,2497,2884,2847
03032,Benifallim,0,0,0,0,0,0,0,0
03033,Benifato,6,1,3,0,5,3,2,2
03034,Benijófar,44,41,41,40,47,45,43,43
03035,Benilloba,0,0,0,1,0,1,1,1
03036,Benillup,0,1,0,0,0,0,0,0
03037,Benimantell,22,23,26,24,25,20,22,20
03038,Benimarfull,0,0,0,0,0,0,0,0
03039,Benimassot,0,0,0,0,0,0,0,0
03040,Benimeli,12,11,11,14,12,20,21,17
03041,Benissa,1044,1040,1059,979,926,922,1004,1001
03042,"Poble Nou de Benitatxell, el/Benitachell",550,539,539,531,551,537,594,581
03043,Biar,10,18,14,13,11,15,16,22
03044,Bigastro,8,8,5,5,6,7,3,3
03045,Bolulla,6,5,8,10,12,13,14,13
03046,Busot,54,51,47,54,50,47,46,61
03047,Calp,2918,2622,2776,2698,2866,2689,3059,3081
03048,Callosa d'en Sarrià,21,23,30,34,35,34,38,39
03049,Callosa de Segura,6,6,6,4,2,2,2,3
03050,"Campello, el",1137,1056,1069,983,1121,1102,1293,1188
03051,"Camp de Mirra, el/Campo de Mirra",0,0,1,1,2,1,1,1
03052,Cañada,3,6,1,1,0,0,1,2
03053,Castalla,30,30,20,20,24,22,20,26
03054,Castell de Castells,7,6,4,6,5,7,5,12
03055,Catral,26,22,19,12,14,11,13,20
03056,Cocentaina,16,13,9,9,10,14,13,14
03057,Confrides,6,5,10,8,8,11,11,10
03058,Cox,1,1,0,1,0,2,2,1
03059,Crevillent,37,30,30,29,25,28,25,29
03060,Quatretondeta,1,1,1,1,2,1,2,2
03061,Daya Nueva,12,11,11,12,12,13,10,10
03062,Daya Vieja,9,9,7,9,9,9,12,12
03063,Dénia,3416,3077,3240,3015,3388,3135,3647,3608
03064,Dolores,12,11,15,11,15,11,16,24
03065,Elx/Elche,746,733,709,673,709,685,733,760
03066,Elda,28,28,22,28,26,18,24,24
03067,Fageca,2,1,1,1,1,1,1,1
03068,Famorca,1,1,1,1,1,0,0,0
03069,Finestrat,324,293,311,300,332,301,411,461
03070,Formentera del Segura,39,38,44,37,36,41,44,36
03071,Gata de Gorgos,57,54,49,45,42,35,44,40
03072,Gaianes,4,3,4,5,6,4,6,15
03073,Gorga,3,3,2,2,2,2,1,1
03074,Granja de Rocamora,2,2,3,2,3,2,2,2
03075,"Castell de Guadalest, el",17,17,19,23,21,20,14,19
03076,Guardamar del Segura,585,562,546,525,510,485,525,518
03077,"Fondó de les Neus, el/Hondón de las Nieves",18,22,19,18,16,13,11,16
03078,Hondón de los Frailes,7,7,7,5,12,11,10,7
03079,Ibi,7,10,8,8,10,7,7,10
03080,Jacarilla,8,9,7,5,5,3,3,3
03081,Xaló,66,61,66,57,61,58,70,70
03082,Xàbia/Jávea,2826,2740,2773,2606,2688,2568,3025,2954
03083,Xixona/Jijona,21,32,23,20,23,17,23,23
03084,"Orxa, l'/Lorcha",0,0,0,0,0,0,0,1
03085,Llíber,43,41,39,37,40,35,37,42
03086,Millena,1,1,1,1,1,1,1,1
03088,Monforte del Cid,31,32,36,29,30,24,23,28
03089,Monòver/Monóvar,12,13,14,15,21,22,22,26
03090,Mutxamel,163,138,134,123,150,146,150,162
03091,Murla,9,9,10,9,12,9,9,10
03092,Muro de Alcoy,5,3,8,7,7,8,10,7
03093,Novelda,14,12,13,12,14,12,16,25
03094,"Nucia, la",158,156,143,140,125,124,134,124
03095,Ondara,38,31,27,21,30,27,27,29
03096,Onil,14,13,13,13,18,18,19,23
03097,Orba,54,47,57,56,46,45,63,66
03098,Orxeta,8,8,10,10,7,10,8,9
03099,Orihuela,2593,2434,2344,2263,2411,2471,2679,2701
03100,Parcent,24,24,21,22,19,16,16,21
03101,Pedreguer,238,213,211,189,209,189,242,238
03102,Pego,166,158,158,147,133,134,145,145
03103,Penàguila,2,9,5,4,5,6,7,7
03104,Petrer,25,24,28,22,25,21,21,25
03105,"Pinós, el/Pinoso",16,20,19,22,19,19,18,18
03106,Planes,3,4,4,4,3,5,5,6
03107,Polop,62,66,62,62,79,72,91,102
03109,Rafal,5,4,2,2,3,2,3,1
03110,"Ràfol d'Almúnia, el",42,46,47,42,35,34,39,44
03111,Redován,5,2,1,1,1,4,3,4
03112,Relleu,15,14,16,15,22,26,18,19
03113,Rojales,454,442,419,433,447,434,444,463
03114,"Romana, la",8,7,10,11,10,10,9,9
03115,Sagra,9,13,11,7,14,14,10,13
03116,Salinas,9,10,9,4,3,5,4,3
03117,Sanet y Negrals,18,15,14,12,14,12,12,13
03118,San Fulgencio,194,162,183,161,165,160,191,196
03119,Sant Joan d'Alacant,161,134,135,127,148,145,166,177
03120,San Miguel de Salinas,148,131,129,122,131,139,151,146
03121,Santa Pola,1237,1170,1219,1136,1336,1343,1657,1679
03122,Sant Vicent del Raspeig/San Vicente del Raspeig,96,83,95,73,104,90,117,93
03123,Sax,20,21,9,16,15,15,15,17
03124,Sella,12,20,10,11,12,13,13,11
03125,Senija,8,7,6,4,6,7,7,5
03127,Tàrbena,7,4,7,5,6,8,7,11
03128,Teulada,1285,1249,1310,1180,1204,1232,1398,1387
03129,Tibi,5,5,5,7,9,9,11,10
03130,Tollos,3,3,3,1,1,1,1,0
03131,Tormos,12,12,9,9,6,6,3,3
03132,"Torre de les Maçanes, la/Torremanzanas",11,11,7,8,8,9,10,9
03133,Torrevieja,3839,3571,3476,3397,3679,3740,4580,4454
03134,"Vall d'Alcalà, la",7,7,7,7,4,4,5,5
03135,"Vall d'Ebo, la",2,5,4,3,2,1,1,1
03136,"Vall de Gallinera, la",19,16,15,14,15,10,11,13
03137,"Vall de Laguar, la",11,11,12,9,14,8,9,11
03138,"Verger, el",112,102,117,106,121,113,146,150
03139,"Vila Joiosa, la/Villajoyosa",759,713,765,766,785,762,928,879
03140,Villena,32,41,23,29,33,33,48,47
03901,"Poblets, els",255,231,235,214,246,224,248,260
03902,Pilar de la Horadada,429,406,409,373,412,405,490,489
03903,"Montesinos, Los",41,37,31,25,32,30,46,43
03904,San Isidro,5,5,8,5,3,3,1,1
04,Almería,4811,4466,4855,4451,5338,5148,6460,6329
04,"Balears, Illes",29237,27703,29211,26458,27038,25393,26507,25073
04001,Abla,3,3,3,2,0,0,1,1
04002,Abrucena,2,2,0,0,0,0,0,3
04003,Adra,25,22,24,24,32,31,54,53
04004,Albanchez,0,0,0,1,1,1,1,1
04005,Alboloduy,1,0,1,1,1,1,1,1
04006,Albox,14,17,16,16,17,16,22,23
04007,Alcolea,5,4,6,7,10,10,9,11
04008,Alcóntar,2,0,0,0,0,0,0,0
04009,Alcudia de Monteagud,0,0,0,0,0,0,1,1
04010,Alhabia,0,0,0,0,0,0,0,0
04011,Alhama de Almería,8,8,8,6,6,4,4,4
04012,Alicún,1,1,1,1,1,1,1,1
04013,Almería,578,514,589,553,722,714,929,935
04014,Almócita,0,0,0,0,0,0,3,3
04015,Alsodux,0,0,0,0,0,0,0,0
04016,Antas,13,12,13,14,12,14,14,15
04017,Arboleas,18,20,20,20,17,21,20,23
04018,Armuña de Almanzora,0,0,0,0,0,0,0,0
04019,Bacares,1,1,1,1,1,1,1,2
04020,Bayárcal,0,0,0,0,0,0,0,0
04021,Bayarque,0,0,0,0,0,0,0,0
04022,Bédar,23,23,25,22,25,22,20,25
04023,Beires,1,0,0,1,1,0,0,0
04024,Benahadux,0,0,1,1,2,4,5,5
04026,Benitagla,0,0,0,0,0,0,0,0
04027,Benizalón,0,0,0,0,0,0,0,0
04028,Bentarique,0,0,0,0,0,0,0,0
04029,Berja,11,10,11,14,15,12,16,12
04030,Canjáyar,1,0,0,0,0,1,1,2
04031,Cantoria,6,8,11,11,14,15,15,17
04032,Carboneras,183,171,203,189,229,203,267,252
04033,Castro de Filabres,0,0,0,0,0,0,0,0
04034,Cóbdar,0,0,0,0,0,0,0,0
04035,Cuevas del Almanzora,124,125,126,111,131,133,169,161
04036,Chercos,1,1,1,1,0,0,1,1
04037,Chirivel,1,1,2,2,2,3,5,3
04038,Dalías,4,4,4,4,4,4,4,5
04041,Enix,11,12,7,5,7,9,17,18
04043,Felix,3,3,4,3,3,5,6,3
04044,Fines,0,0,0,0,1,1,2,3
04045,Fiñana,3,3,3,3,3,3,2,3
04046,Fondón,2,3,3,4,3,4,5,7
04047,Gádor,0,0,0,1,1,1,1,1
04048,"Gallardos, Los",7,7,12,9,9,8,8,8
04049,Garrucha,94,82,96,86,114,101,138,114
04050,Gérgal,0,0,0,0,0,1,4,5
04051,Huécija,0,0,0,0,0,0,0,0
04052,Huércal de Almería,5,5,6,4,4,3,3,6
04053,Huércal-Overa,23,16,17,17,21,20,21,14
04054,Íllar,2,1,2,1,3,4,4,3
04055,Instinción,0,1,1,0,0,0,1,1
04056,Laroya,1,1,1,3,10,10,7,8
04057,Láujar de Andarax,1,1,2,2,3,2,7,7
04058,Líjar,0,0,0,0,0,0,1,1
04059,Lubrín,17,16,17,18,16,18,17,17
04060,Lucainena de las Torres,3,2,1,0,0,0,1,0
04061,Lúcar,2,1,1,1,2,3,10,8
04062,Macael,1,1,1,1,0,1,1,3
04063,María,2,2,2,2,0,1,1,1
04064,Mojácar,654,655,691,643,708,757,889,895
04065,Nacimiento,0,0,0,0,0,0,0,0
04066,Níjar,707,660,723,705,832,806,956,903
04067,Ohanes,2,2,2,2,1,4,3,4
04068,Olula de Castro,0,0,0,0,0,0,0,0
04069,Olula del Río,1,1,1,2,2,3,2,2
04070,Oria,9,10,11,12,15,13,10,8
04071,Padules,0,1,0,0,1,1,1,1
04072,Partaloa,7,4,4,4,3,4,5,6
04073,Paterna del Río,0,0,0,0,0,0,0,0
04074,Pechina,2,2,2,2,4,6,6,7
04075,Pulpí,288,282,277,222,233,225,289,294
04076,Purchena,3,2,4,4,3,3,3,0
04077,Rágol,0,0,0,0,0,0,0,0
04078,Rioja,0,0,0,0,0,0,0,0
04079,Roquetas de Mar,745,626,733,623,836,749,1008,974
04080,Santa Cruz de Marchena,0,0,0,0,0,0,0,0
04081,Santa Fe de Mondújar,2,1,3,4,1,1,0,1
04082,Senés,3,3,3,2,3,2,2,2
04083,Serón,10,11,11,6,6,7,7,9
04084,Sierro,0,0,0,0,0,0,0,0
04085,Somontín,1,1,1,1,0,0,0,0
04086,Sorbas,16,18,19,14,13,12,16,14
04087,Suflí,0,0,0,0,0,0,0,0
04088,Tabernas,12,13,11,10,10,12,17,19
04089,Taberno,1,1,1,2,2,4,2,4
04090,Tahal,2,2,2,2,2,3,3,3
04091,Terque,0,0,0,0,1,1,2,4
04092,Tíjola,1,2,1,3,3,5,5,5
04093,Turre,55,48,39,36,52,42,43,39
04094,Turrillas,0,0,0,0,0,0,0,0
04095,Uleila del Campo,2,1,1,0,0,0,0,0
04096,Urrácal,0,0,0,0,0,0,0,0
04097,Velefique,0,0,0,0,0,0,1,1
04098,Vélez-Blanco,8,8,7,12,12,10,10,15
04099,Vélez-Rubio,10,10,8,9,12,12,13,13
04100,Vera,891,833,891,812,945,881,1120,1081
04101,Viator,1,1,1,1,1,1,3,3
04102,Vícar,40,38,39,40,48,48,50,58
04103,Zurgena,2,3,3,3,4,5,9,9
04901,"Tres Villas, Las",4,4,4,4,4,3,4,3
04902,"Ejido, El",129,119,120,109,138,122,160,157
04903,"Mojonera, La",0,0,0,0,0,0,0,0
04904,Balanegra,,,,,,,,4
05,Ávila,799,786,847,852,992,1016,1121,1126
05,Canarias,37791,37855,39327,38768,40935,42651,44376,46784
05001,Adanero,2,3,4,3,4,3,3,3
05002,"Adrada, La",16,18,19,21,34,30,37,43
05005,Albornos,0,0,0,0,0,0,0,0
05007,Aldeanueva de Santa Cruz,0,0,0,0,0,0,0,0
05008,Aldeaseca,0,0,0,0,0,0,0,0
05010,"Aldehuela, La",0,1,1,0,0,0,0,0
05012,Amavida,0,0,0,0,0,0,0,0
05013,"Arenal, El",8,8,10,10,19,17,20,16
05014,Arenas de San Pedro,71,72,73,87,105,105,119,126
05015,Arevalillo,0,0,0,0,0,0,0,0
05016,Arévalo,14,17,17,18,21,26,29,31
05017,Aveinte,0,0,0,0,0,0,0,0
05018,Avellaneda,3,3,3,3,3,3,3,3
05019,Ávila,129,123,151,132,138,140,165,154
05021,"Barco de Ávila, El",14,13,15,13,16,16,15,16
05022,"Barraco, El",21,18,17,17,21,21,26,31
05023,Barromán,0,0,0,0,0,0,0,0
05024,Becedas,0,0,0,0,0,0,1,1
05025,Becedillas,0,0,0,0,0,0,0,0
05026,Bercial de Zapardiel,0,0,0,0,0,0,0,0
05027,"Berlanas, Las",0,0,0,0,0,0,0,0
05029,Bernuy-Zapardiel,0,0,0,0,0,0,0,0
05030,Berrocalejo de Aragona,1,1,1,1,1,1,1,1
05033,Blascomillán,0,0,0,0,0,0,0,0
05034,Blasconuño de Matacabras,0,0,0,0,0,0,0,0
05035,Blascosancho,0,0,0,0,0,0,0,0
05036,"Bohodón, El",0,0,0,0,0,0,0,0
05037,Bohoyo,2,2,2,2,3,3,2,3
05038,Bonilla de la Sierra,3,4,4,4,4,4,4,4
05039,Brabos,0,0,0,0,0,0,0,0
05040,Bularros,0,0,0,0,0,0,0,0
05041,Burgohondo,14,15,13,14,12,13,13,11
05042,Cabezas de Alambre,0,0,0,0,0,0,0,0
05043,Cabezas del Pozo,0,0,0,0,0,0,0,0
05044,Cabezas del Villar,0,0,0,0,0,0,0,0
05045,Cabizuela,0,0,0,0,0,0,0,0
05046,Canales,0,0,0,0,0,0,0,0
05047,Candeleda,79,83,87,78,115,111,132,126
05048,Cantiveros,0,0,0,0,1,1,2,2
05049,Cardeñosa,2,2,0,0,1,1,1,3
05051,"Carrera, La",3,3,4,3,3,3,3,3
05052,Casas del Puerto,0,0,0,0,0,0,0,0
05053,Casasola,0,0,0,0,0,0,0,0
05054,Casavieja,7,11,11,9,10,9,8,9
05055,Casillas,2,2,1,1,3,4,6,6
05056,Castellanos de Zapardiel,0,0,0,0,0,0,0,0
05057,Cebreros,3,3,3,2,5,4,8,12
05058,Cepeda la Mora,0,1,0,0,0,0,0,0
05059,Cillán,0,0,0,0,0,1,1,1
05060,Cisla,0,0,0,0,0,0,0,0
05061,"Colilla, La",2,2,1,2,1,1,1,1
05062,Collado de Contreras,0,0,0,0,0,0,0,0
05063,Collado del Mirón,0,0,0,0,0,0,0,0
05064,Constanzana,0,0,0,0,0,0,0,0
05065,Crespos,0,0,0,0,0,0,0,0
05066,Cuevas del Valle,8,5,5,6,5,6,7,8
05067,Chamartín,0,0,0,0,0,0,0,0
05069,Donjimeno,0,0,0,0,0,0,0,0
05070,Donvidas,0,0,0,0,0,0,0,0
05072,Espinosa de los Caballeros,0,0,0,0,0,0,0,0
05073,Flores de Ávila,0,0,0,0,0,0,0,0
05074,Fontiveros,1,1,1,1,1,1,0,0
05075,Fresnedilla,1,1,1,0,0,0,0,0
05076,"Fresno, El",1,1,1,1,1,2,1,2
05077,Fuente el Saúz,1,1,1,1,1,1,1,1
05078,Fuentes de Año,0,0,0,0,0,0,0,0
05079,Gallegos de Altamiros,0,0,0,0,0,0,1,1
05080,Gallegos de Sobrinos,0,0,1,1,1,1,1,1
05081,Garganta del Villar,0,0,0,0,0,0,0,0
05082,Gavilanes,1,0,0,0,0,1,6,2
05083,Gemuño,0,0,0,0,1,1,0,0
05084,Gilbuena,1,1,1,2,2,0,0,0
05085,Gil García,1,1,1,1,1,1,2,2
05086,Gimialcón,0,0,0,0,0,0,0,0
05087,Gotarrendura,1,1,1,1,0,0,0,0
05088,Grandes y San Martín,0,0,0,0,0,0,0,0
05089,Guisando,14,14,12,12,11,11,10,10
05090,Gutierre-Muñoz,0,0,0,0,0,0,0,0
05092,Hernansancho,1,1,1,1,1,1,0,1
05093,Herradón de Pinares,2,2,3,3,4,4,6,5
05094,Herreros de Suso,0,0,0,0,0,0,0,0
05095,Higuera de las Dueñas,3,3,3,3,3,3,3,4
05096,"Hija de Dios, La",0,0,0,0,0,0,0,0
05097,"Horcajada, La",3,3,3,4,4,4,4,4
05099,Horcajo de las Torres,1,1,1,1,1,1,1,0
05100,"Hornillo, El",9,9,8,8,10,10,8,9
05101,Hoyocasero,4,4,5,2,2,2,1,2
05102,"Hoyo de Pinares, El",2,2,2,2,1,2,3,2
05103,Hoyorredondo,0,0,0,0,0,0,0,0
05104,Hoyos del Collado,0,0,0,0,0,0,0,0
05105,Hoyos del Espino,11,11,15,14,14,13,12,13
05106,Hoyos de Miguel Muñoz,0,0,0,0,0,0,0,1
05107,Hurtumpascual,0,0,0,0,0,0,0,0
05108,Junciana,1,1,1,1,0,0,0,0
05109,Langa,0,0,0,0,0,0,0,0
05110,Lanzahíta,6,5,6,11,13,13,8,15
05112,"Losar del Barco, El",0,0,0,0,3,1,1,1
05113,"Llanos de Tormes, Los",1,1,1,1,0,0,0,0
05114,Madrigal de las Altas Torres,4,4,4,4,2,2,2,3
05115,Maello,9,11,11,13,14,13,16,17
05116,Malpartida de Corneja,0,0,0,0,0,0,0,0
05117,Mamblas,0,0,0,0,0,0,0,0
05118,Mancera de Arriba,0,0,0,0,0,0,0,0
05119,Manjabálago y Ortigosa de Rioalmar,1,1,1,1,1,1,0,0
05120,Marlín,0,0,0,0,0,0,0,0
05121,Martiherrero,2,2,2,1,1,1,1,1
05122,Martínez,0,0,0,0,0,0,0,0
05123,Mediana de Voltoya,3,3,3,3,2,0,0,0
05124,Medinilla,0,0,0,0,0,0,0,0
05125,Mengamuñoz,0,0,0,0,0,0,0,0
05126,Mesegar de Corneja,0,0,0,0,0,0,0,0
05127,Mijares,2,1,2,3,6,5,7,7
05128,Mingorría,6,7,7,8,9,7,3,3
05129,"Mirón, El",0,0,0,0,0,0,0,0
05130,Mironcillo,0,0,0,0,6,7,7,0
05131,Mirueña de los Infanzones,0,0,0,0,0,0,0,0
05132,Mombeltrán,16,16,19,17,18,16,16,17
05133,Monsalupe,0,0,0,0,0,0,0,0
05134,Moraleja de Matacabras,0,0,0,0,0,0,0,0
05135,Muñana,2,2,2,3,3,3,4,3
05136,Muñico,0,0,0,0,1,1,1,1
05138,Muñogalindo,2,2,2,2,2,3,4,4
05139,Muñogrande,0,0,0,0,0,0,0,0
05140,Muñomer del Peco,0,0,0,0,0,0,0,0
05141,Muñopepe,2,2,2,2,2,1,1,1
05142,Muñosancho,0,0,0,0,0,0,0,0
